EXIOBASE,NACElevel,NACE Code,NACE Code and Level,NACE class,ISIC Class,ISIC Group,ISIC Division,ISIC Section,ISIC Unique Group code,ISIC Unique Class code
Landfill of waste: Paper,E,38.21,E38.21,Treatment and disposal of non-hazardous waste,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382,E_38_382_3821
Landfill of waste: Plastic,E,38.21,E38.21,Treatment and disposal of non-hazardous waste,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382,E_38_382_3821
Landfill of waste: Textiles,E,38.21,E38.21,Treatment and disposal of non-hazardous waste,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382,E_38_382_3821
Landfill of waste: Wood,E,38.21,E38.21,Treatment and disposal of non-hazardous waste,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382,E_38_382_3821
"Collection, purification and distribution of water (41)",E,36,E36.00,"Water collection, treatment and supply","Water Collection, Treatment And Supply","Water collection, treatment and supply","Water collection, treatment and supply","Water supply; sewerage, waste management and remediation activities",E_36_360,E_36_360_3600
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.22,G46.22,Wholesale of flowers and plants,Wholesale of agricultural raw materials and live animals,Wholesale of agricultural raw materials and live animals,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_462,G_46_462_4620
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.21,G46.21,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds",Wholesale of agricultural raw materials and live animals,Wholesale of agricultural raw materials and live animals,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_462,G_46_462_4620
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.23,G46.23,Wholesale of live animals,Wholesale of agricultural raw materials and live animals,Wholesale of agricultural raw materials and live animals,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_462,G_46_462_4620
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.39,G46.39,"Non-specialised wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco","Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_463,G_46_463_4630
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.34,G46.34,Wholesale of beverages,"Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco","Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_463,G_46_463_4630
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.37,G46.37,"Wholesale of coffee, tea, cocoa and spices","Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco","Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_463,G_46_463_4630
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.33,G46.33,"Wholesale of dairy products, eggs and edible oils and fats","Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco","Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_463,G_46_463_4630
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.31,G46.31,Wholesale of fruit and vegetables,"Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco","Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_463,G_46_463_4630
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.32,G46.32,Wholesale of meat and meat products,"Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco","Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_463,G_46_463_4630
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.38,G46.38,"Wholesale of other food, including fish, crustaceans and molluscs","Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco","Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_463,G_46_463_4630
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.36,G46.36,Wholesale of sugar and chocolate and sugar confectionery,"Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco","Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_463,G_46_463_4630
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.35,G46.35,Wholesale of tobacco products,"Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco","Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_463,G_46_463_4630
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.44,G46.44,Wholesale of china and glassware and cleaning materials,Wholesale of other household goods,Wholesale of household goods,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_464,G_46_464_4649
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.43,G46.43,Wholesale of electrical household appliances,Wholesale of other household goods,Wholesale of household goods,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_464,G_46_464_4649
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.47,G46.47,"Wholesale of furniture, carpets and lighting equipment",Wholesale of other household goods,Wholesale of household goods,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_464,G_46_464_4649
